BirthYear,animalGender,AnimalName,DogCount
1976,F,VICKY,1
1976,F,WIGGLES,1
1976,F,WINNIE,1
1976,F,ZEP,1
1976,F,ZYPA,1
1976,F,ZZA,1
1976,M,ALFIE,2
1976,M,ANDRE,1
1976,M,B.J.,2
1976,M,BABY,2
1976,M,BADGER,1
1976,M,BAKVAR,1
1976,M,BAMBOO,1
1976,M,BAMBY,1
1976,M,BANDIT,1
1976,M,BEAUTY,1
1976,M,BEAVER,1
1976,M,BEN,2
1976,M,BENGI,1
1976,M,BENJAMIN,2
1976,M,BENJI,1
1976,M,BENJIE,1
1976,M,BERNIE,1
1976,M,BERT,1
1976,M,BEUTY,1
1976,M,BIG,1
1976,M,BIJOU,2
1976,M,BLACKIE,4
1976,M,BLACKY,1
1976,M,BLUTO,1
1976,M,BOBBY,1
1976,M,BOHKO,1
1976,M,BONES,1
1976,M,BONGO,1
1976,M,BOO,1
1976,M,BOOTS,1
1976,M,BOOZE,1
1976,M,BOWZER,2
1976,M,BRANDY,4
1976,M,BROWNEE,1
1976,M,BROWNI,1
1976,M,BROWNIE,3
1976,M,BRUNO,1
1976,M,BRUTUS,1
1976,M,BUBBLES,1
1976,M,BUCK,1
1976,M,BUDDY,3
1976,M,BUFFY,1
1976,M,BULLETT,1
1976,M,BUSTER,1
1976,M,BUTCH,3
1976,M,BUTTON,1
1976,M,BUTTONS,3
1976,M,CAMPI,1
1976,M,CANDY,1
1976,M,CHAMP,4
1976,M,CHARLIE,4
1976,M,CHEROKEE,1
1976,M,CHICO,3
1976,M,CHIP,1
1976,M,CJ,1
1976,M,CLANCY,1
1976,M,CO,1
1976,M,COCO,1
1976,M,COCOA,1
1976,M,COFFY,1
1976,M,COGNAC,1
1976,M,COOKIE,1
1976,M,CORPORAL,1
1976,M,COSMO,1
1976,M,CRIMSON,1
1976,M,CRYSTAL,1
1976,M,DAMIEN,1
1976,M,DAMON,1
1976,M,DANDY,3
1976,M,DEMITASSE,1
